"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Year","Updated.On","Time","ActiveOrInactive"
8051604,"HT283018",2011-05-06,"020XX N WESTERN AVE","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",1432,14,32,22,"06",2011,"02/10/2018 03:50:01 PM",08:30:00,"Inactive"
8051274,"HT282702",2011-05-06,"008XX N FRANKLIN ST","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",1823,18,27,8,"06",2011,"02/10/2018 03:50:01 PM",13:00:00,"Inactive"
8052137,"HT282560",2011-05-06,"055XX S DR MARTIN LUTHER KING JR DR","0810","THEFT","OVER $500","CTA BUS","false","false",234,2,3,40,"06",2011,"02/10/2018 03:50:01 PM",13:00:00,"Inactive"
8051263,"HT282683",2011-05-06,"042XX W GRAND AVE","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",2534,25,30,23,"06",2011,"02/10/2018 03:50:01 PM",13:50:00,"Inactive"
8051527,"HT283127",2011-05-06,"071XX S PULASKI RD","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",833,8,13,65,"06",2011,"02/10/2018 03:50:01 PM",14:30:00,"Inactive"
8084995,"HT283090",2011-05-06,"059XX S DAMEN AVE","0334","ROBBERY","ATTEMPT: ARMED-KNIFE/CUT INSTR","CTA BUS STOP","false","false",714,7,15,67,"03",2011,"02/04/2016 06:33:39 AM",15:23:00,"Inactive"
8060743,"HT286669",2011-05-06,"067XX S BLACKSTONE AVE","0460","BATTERY","SIMPLE","CTA BUS STOP","false","false",332,3,5,43,"08B",2011,"02/10/2018 03:50:01 PM",16:15:00,"Inactive"
8051676,"HT282932",2011-05-06,"001XX W LAKE ST","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",113,1,42,32,"06",2011,"02/10/2018 03:50:01 PM",16:30:00,"Inactive"
8051450,"HT282953",2011-05-06,"0000X E GRAND AVE","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",1834,18,42,8,"06",2011,"02/10/2018 03:50:01 PM",16:45:00,"Inactive"
8056389,"HT282984",2011-05-06,"035XX S WENTWORTH AVE","0810","THEFT","OVER $500","CTA PLATFORM","false","false",925,9,3,34,"06",2011,"02/04/2016 06:33:39 AM",17:00:00,"Inactive"
8051687,"HT283191",2011-05-06,"056XX S DR MARTIN LUTHER KING JR DR","1320","CRIMINAL DAMAGE","TO VEHICLE","CTA BUS","false","false",234,2,20,40,"14",2011,"02/10/2018 03:50:01 PM",19:00:00,"Inactive"
